feature,importance
Risco_Inadimplencia,0.3201947591672667
Percentual_Comprometimento_Renda,0.15211980948490164
Utilizacao_Credito_Percentual,0.07428104707607422
Tem_Emprestimo_Ativo_Não,0.062136692262456175
Razao_Emprestimo_Renda,0.05121424273336517
Tem_Emprestimo_Ativo_Sim,0.05028526968890691
Score_Credito,0.04770171939679396
Valor_Emprestimo,0.02893009445986912
Taxa_Juros_Emprestimo,0.028233543122073195
Taxa_Media_Emprestimos_Anteriores,0.02404287724641505
Tipo_Emprestimo_Pessoal,0.01872437927066903
Prazo_Emprestimo_Meses,0.01819588957499164
Atraso_Medio_Pagamentos_Dias,0.014806089503624787
Possui_Cartao_Credito_Não,0.011932154247029501
Tipo_Emprestimo_Veículo,0.00963024476664404
Possui_Cartao_Credito_Sim,0.008626810895281315
Baixo_Score,0.008583804485151097
Percentual_Pagamento_Fatura,0.007460727351622445
Limite_Cartao_Credito,0.005135475926572654
Renda_Mensal,0.004849824391636419
Tipo_Emprestimo_Imobiliário,0.003984742347613744
Indicadores_Risco,0.003800648343895851
Satisfacao_Cliente_Muito Insatisfeito,0.0033992181190698593
Satisfacao_Cliente_Satisfeito,0.0030036865539795413
Num_Produtos,0.0029020912755151453
Atraso_Frequente,0.002610475229541584
Tempo_Relacionamento_Anos,0.0022787646605486158
Limite_Cheque_Especial,0.001787688728813846
Valor_Total_Emprestimos_Anteriores,0.0017470420213018887
Tipo_Emprestimo_Consignado,0.001710808169027192
Valor_Transacao_Media,0.0016817212900696603
Saldo_Anterior_3M,0.0014295680495619773
Saldo_Atual,0.0014253296054849217
Tempo_Residencia_Anos,0.001192181325120337
Numero_Transacoes_Mes_Media,0.0011671619847261375
ID_Conta,0.0010747008348202431
Razao_Saldo_Renda,0.0010388292568129537
Numero_Emprestimos_Anteriores,0.0009650917034771452
Residencia_Propria_Sim,0.0009384447723013074
Residencia_Propria_Não,0.0009303584700661803
Variacao_Saldo_Percentual_3M,0.000905412354467634
Idade,0.0008139092651069974
Tipo_Conta_Premium,0.0007206104651634452
Satisfacao_Cliente_Neutro,0.0006441449042102772
Numero_Reclamacoes_Ultimo_Ano,0.0006327918222075407
Segmento_Banco_Private,0.0005986658296884309
Segmento_Banco_Alta Renda,0.0005848109066558685
Satisfacao_Cliente_Insatisfeito,0.000520669940486994
Segmento_Banco_Varejo,0.0005038153092691084
Tem_Reclamacoes,0.0004734372043605595
Faixa_Tempo_Relacionamento_>10 anos,0.000308240301850784
Numero_Dependentes,0.000253300695259844
Segmento_Banco_Média Renda,0.0002177886778275219
Nivel_Educacional_Pós-Graduação,0.00019825838399392779
Utilizacao_Cheque_Especial,0.00019589074218912924
Possui_Investimentos_Sim,0.0001781173037784873
Nivel_Educacional_Superior Completo,0.00016897077404064216
Tipo_Conta_Corrente,0.00016658786373439862
Possui_Investimentos_Não,0.00016285039385188107
Faixa_Tempo_Relacionamento_1-3 anos,0.00016172647500625235
Faixa_Tempo_Relacionamento_5-10 anos,0.000143981451040183
Profissao_Empresário,0.00013353283704463964
Faixa_Tempo_Relacionamento_<1 ano,0.00012971104024089074
Satisfacao_Cliente_Muito Satisfeito,0.00012675294068872743
Faixa_Etaria_45-55,0.00011944674333991227
Faixa_Tempo_Relacionamento_3-5 anos,0.00011175379272479715
Perfil_Investidor_Conservador,0.00011022455767026574
Nivel_Educacional_Ensino Médio,0.00010815845394074344
Faixa_Etaria_<25,0.00010629942645443206
Estado_Civil_Casado,0.00010500399893812579
Perfil_Investidor_Moderado,0.00010454667960385709
Nivel_Educacional_Ensino Fundamental,0.00010358945125288166
Genero_Feminino,0.00010238092707467334
Perfil_Investidor_Arrojado,0.00010219580514584624
Profissao_Comerciante,0.00010028975702825715
Tipo_Transacao_Mais_Comum_Depósito,9.932502800835269e-05
Tipo_Transacao_Mais_Comum_Compra Débito,9.786741643663107e-05
Canais_Utilizados_Mobile Banking,9.636479580503849e-05
Canais_Utilizados_Agência Física,9.402131183125872e-05
Possui_Previdencia_Não,9.370267561538214e-05
Profissao_Contador,9.261978950159267e-05
Canais_Utilizados_Internet Banking,9.22097691886079e-05
Faixa_Etaria_55-65,9.156304247644252e-05
Estado_Civil_Solteiro,9.131086063779766e-05
Tipo_Conta_Salário,9.015512765324601e-05
Frequencia_Transacoes_Online_Média,8.997958782083404e-05
Tipo_Transacao_Mais_Comum_Saque,8.892490470250663e-05
Canais_Utilizados_Telefone,8.807621514833639e-05
Tipo_Transacao_Mais_Comum_Transferência,8.52792837608252e-05
Nacionalidade_Brasileira,8.486833881208196e-05
Faixa_Etaria_25-35,8.423404236652153e-05
Tipo_Conta_Poupança,8.402982388698507e-05
Tipo_Transacao_Mais_Comum_Pagamento de Boleto,8.204694029837515e-05
Profissao_Vendedor,8.065986592987952e-05
Profissao_Enfermeiro,7.993001609567472e-05
Profissao_Médico,7.968073627404146e-05
Possui_Seguro_Vida_Não,7.930862017123024e-05
Genero_Masculino,7.893864473225963e-05
Profissao_Engenheiro,7.845357495069575e-05
Profissao_Gerente,7.817702810893903e-05
Frequencia_Transacoes_Online_Alta,7.69743816302716e-05
Profissao_Motorista,7.584320583481134e-05
Profissao_Aposentado,7.564559764039804e-05
Tipo_Conta_Digital,7.460525560881152e-05
Profissao_Autônomo,7.408543888733348e-05
Nacionalidade_Portuguesa,7.348175201675046e-05
Possui_Seguro_Vida_Sim,6.992498572859119e-05
Frequencia_Transacoes_Online_Baixa,6.963706099935578e-05
Tipo_Transacao_Mais_Comum_Compra Crédito,6.938557564948849e-05
Faixa_Etaria_35-45,6.918303816478552e-05
Profissao_Recepcionista,6.676176805443955e-05
Possui_Previdencia_Sim,6.332333899558387e-05
Profissao_Advogado,5.8941827826779494e-05
Estado_Civil_Divorciado,5.6673987418852484e-05
Nivel_Educacional_Superior Incompleto,5.66158563401149e-05
Faixa_Etaria_>65,5.619732820479311e-05
Profissao_Técnico,5.6173189232020975e-05
Profissao_Analista,5.505042224984229e-05
Profissao_Estudante,5.428799957411803e-05
Estado_Civil_Viúvo,5.1324653085045365e-05
Profissao_Professor,4.901385470539179e-05
Genero_Outro,4.434443044689492e-05
