feature,importance,grupo
Risco_Inadimplencia,0.2689412403068513,Risco
Score_X_Comprometimento,0.09508483583353722,Score
Percentual_Comprometimento_Renda,0.09120949819556261,Percentual
Tem_Emprestimo_Ativo_Não,0.080265446940773,Tem
Utilizacao_Credito_Percentual,0.0713970547290631,Utilizacao
Razao_Emprestimo_Renda,0.04834665305781926,Razao
Tem_Emprestimo_Ativo_Sim,0.03648901165694331,Tem
Indice_Risco_Composto,0.03481214732858181,Indice
Log_Score_Credito,0.03444791270797014,Log
Score_Credito,0.027198553098444316,Score
Valor_Emprestimo,0.024688208042165028,Valor
Prazo_Emprestimo_Meses,0.02409020202590423,Prazo
Taxa_Juros_Emprestimo,0.02265470026656505,Taxa
Tipo_Emprestimo_Pessoal,0.017483419834766218,Tipo
Taxa_Media_Emprestimos_Anteriores,0.01736405489640257,Taxa
Possui_Cartao_Credito_Sim,0.010875929166007913,Possui
Atraso_Medio_Pagamentos_Dias,0.009795783485894815,Atraso
Tipo_Emprestimo_Veículo,0.006895437005320409,Tipo
Possui_Cartao_Credito_Não,0.006687298088425367,Possui
Baixo_Score,0.0062437559540668005,Baixo
Percentual_Pagamento_Fatura,0.00454282047422786,Percentual
Residencia_Propria_Sim,0.003565683931010421,Residencia
Renda_Mensal,0.0032098670608774844,Renda
Tipo_Emprestimo_Imobiliário,0.003082474130095861,Tipo
Residencia_Propria_Não,0.0028241753729442215,Residencia
Limite_Cartao_Credito,0.002724419845876491,Limite
Satisfacao_Cliente_Muito Insatisfeito,0.00242847090414115,Satisfacao
Indicadores_Risco,0.0023712563518821558,Indicadores
Satisfacao_Cliente_Neutro,0.001966015293851524,Satisfacao
Satisfacao_Cliente_Satisfeito,0.00166158960244915,Satisfacao
Tipo_Emprestimo_Consignado,0.0015502130392790754,Tipo
Segmento_Banco_Varejo,0.001386079101914858,Segmento
Nivel_Educacional_Ensino Médio,0.0013207938132147152,Nivel
Atraso_Frequente,0.001262807472836523,Atraso
Num_Produtos,0.0012207262279890266,Num
Segmento_Banco_Média Renda,0.0011540138434922894,Segmento
Nivel_Educacional_Pós-Graduação,0.0009873804463048535,Nivel
Limite_Cheque_Especial,0.0009854763955105589,Limite
Faixa_Etaria_35-45,0.0009822004680254113,Faixa
Nivel_Educacional_Superior Completo,0.0009611603863343205,Nivel
Tempo_Relacionamento_Anos,0.0009451232925664056,Tempo
Possui_Investimentos_Não,0.0009009914027332871,Possui
Canais_Utilizados_Mobile Banking,0.0008946933634515964,Canais
Saldo_Atual,0.0008585916408445604,Saldo
Faixa_Tempo_Relacionamento_>10 anos,0.0007393841752684455,Faixa
Valor_Transacao_Media,0.000723474339209647,Valor
Satisfacao_Cliente_Insatisfeito,0.0007178983983345155,Satisfacao
Segmento_Banco_Alta Renda,0.0007107263260096048,Segmento
