Renda_Mensal,Score_Credito,Tempo_Relacionamento_Anos,Saldo_Atual,Valor_Transacao_Media,Saldo_Anterior_3M,Limite_Cartao_Credito,Utilizacao_Credito_Percentual,Valor_Total_Emprestimos_Anteriores,Taxa_Media_Emprestimos_Anteriores,Atraso_Medio_Pagamentos_Dias,Percentual_Comprometimento_Renda,Nivel_Educacional,Residencia_Propria,Data_Abertura_Conta,Tem_Emprestimo_Ativo,Status_Emprestimo,Satisfacao_Cliente,Segmento_Banco,Possui_Cartao_Credito,Risco_Inadimplencia
-0.44043294,-1.0966939,3.5260794,1.2312914,-0.2967495,1.2335327,-0.60334635,-1.3087844,1.5382534,-0.119015306,-0.5018545,-1.9142463,0.93727434,-1.0976616,-2.5084012,-0.7783882,0.75727564,0.25736845,-1.1676167,0.30220196,0
-0.28979144,-0.3100671,2.5328338,-0.28055668,-0.5747173,-0.26386324,-0.37470067,-1.1393821,0.81355613,-0.2935292,5.955212,-1.1455553,0.93727434,0.92515993,-2.2231781,-0.7783882,0.75727564,0.25736845,-0.19516551,0.30220196,1
-0.79621106,-1.3689878,3.0512016,-0.34697747,-0.6332289,-0.3568354,-0.8141393,0.4354846,-0.006870267,-0.6108272,-5.8637895e-08,-2.1926045,-0.5664413,-1.0976616,-2.4051473,-0.7783882,0.75727564,-2.1275127,1.7497368,-3.4083269,0
-0.47388765,-0.06802809,-0.73350316,-0.2443072,-0.38795727,-0.2690146,-0.7231689,1.0518409,-0.08950736,-0.08728555,-0.26046878,0.0033326715,0.18541649,0.92515993,0.74983555,-0.7783882,0.75727564,0.25736845,-0.19516551,0.30220196,0
-0.7431986,-0.3100671,3.8658953,-0.14249426,0.3139811,-0.15193196,-0.56918263,1.5566977,0.04297504,-0.2142048,-5.8637895e-08,-1.9655428,-0.5664413,0.92515993,-2.5460062,-0.7783882,0.75727564,0.25736845,-0.19516551,-3.4083269,0
0.26479825,0.6127066,2.4069564,-0.15273558,-0.08614542,-0.16073512,0.16598465,-1.5643233,7.477631,-0.4680431,-0.5018545,-1.7448928,0.18541649,0.92515993,-2.1674082,-0.7783882,0.75727564,-1.3325523,-1.1676167,0.30220196,0
-0.0868926,0.71859866,1.575245,-0.3392825,-0.58219445,-0.32962748,0.28730023,-0.29284945,1.4799038,-1.7530997,-5.8637895e-08,-1.4307027,0.93727434,-1.0976616,-1.6546438,1.3019366,-1.2152958,0.25736845,-0.19516551,-3.4083269,0
-0.6604612,-2.2161243,4.230832,-0.06369107,-0.6543233,0.049128488,-0.48402342,2.3563337,-0.13376315,2.8001258,-0.32081524,0.9379827,1.6891321,-1.0976616,-2.5651271,1.3019366,-2.2015815,-1.3325523,-0.19516551,0.30220196,1
-0.7531045,-0.91516465,0.73029774,-0.38659015,-0.58515143,-0.3890936,-0.7773062,-0.4766078,-0.36720333,1.3246903,-0.44150805,-0.79289263,-0.5664413,-1.0976616,-0.8827884,-0.7783882,0.75727564,0.25736845,1.7497368,0.30220196,0
-0.7488648,-0.79414517,1.1119827,-0.27389863,-7.6704715e-08,-0.27746016,-0.7229077,1.3179077,-0.39681903,0.5473103,0.041263234,0.64265126,-0.5664413,0.92515993,-1.2585182,-0.7783882,0.75727564,0.25736845,-0.19516551,0.30220196,1
0.027047228,-0.037773214,3.1533084,2.8573468,-7.6704715e-08,2.8913748,-0.37125707,0.97431767,1.3256906,0.88047326,-0.5622009,0.9379827,0.93727434,0.92515993,-2.4284112,-0.7783882,0.75727564,-2.1275127,-1.1676167,0.30220196,1
-0.8948492,-0.34032196,1.7532567,-0.10326902,-0.30515584,-0.10822604,-0.68083864,1.0250427,0.1931636,1.229501,-0.5622009,0.9379827,1.6891321,0.92515993,-1.7859421,-0.7783882,0.75727564,1.0523288,-0.19516551,0.30220196,1
-0.8455119,-1.1269488,4.00717,-0.22042046,-0.38041735,-0.21860532,-0.69414085,0.39050195,-0.14151144,0.05549858,-0.5622009,0.9379827,-1.3182992,-1.0976616,-2.5549293,-0.7783882,0.75727564,0.25736845,-0.19516551,0.30220196,1
-0.28862628,0.12862861,3.597932,-0.2950857,-0.28234762,-0.31995645,-0.6682025,-1.3762581,2.2278872,0.9439328,-0.26046878,-1.9481926,-0.5664413,-1.0976616,-2.5170057,-0.7783882,0.75727564,0.25736845,-0.19516551,0.30220196,0
-0.7739527,-0.960547,3.7489316,-0.2152814,-0.5142595,-0.23049407,-0.7835256,-0.6129909,0.2359693,-0.16660994,1.9723485,0.6241696,-0.5664413,-1.0976616,-2.5374017,1.3019366,-1.2152958,1.0523288,-0.19516551,0.30220196,1
-0.2555854,0.02273654,-0.1735365,-0.25710058,-0.12827125,-0.2657091,-0.014866165,-0.791964,0.048472952,-0.119015306,-0.62254727,-0.5058592,-0.5664413,0.92515993,0.10991581,-0.7783882,0.75727564,-2.1275127,-0.19516551,0.30220196,0
-0.022667551,1.0816572,3.9563866,-0.18008445,-0.4706332,-0.1741333,0.1955174,-1.1958495,1.7990105,-1.2136933,-0.6828937,-0.7510257,0.18541649,0.92515993,-2.5530171,-0.7783882,0.75727564,1.0523288,-0.19516551,0.30220196,0
-9.169204e-08,0.5370694,2.7394786,-0.24913096,-0.29800513,-0.2486092,0.102346435,0.45271197,-0.24621743,1.2136362,-0.13977598,0.9379827,-0.5664413,-1.0976616,-2.299025,1.3019366,-1.2152958,1.0523288,-0.19516551,0.30220196,1
-0.8531492,0.55219686,2.6962588,-0.079334304,-0.556536,-0.114519715,-0.61633354,-1.0637732,0.17901486,0.6742294,-5.8637895e-08,-1.2013777,0.93727434,0.92515993,-2.285959,1.3019366,-1.2152958,1.0523288,-0.19516551,-3.4083269,0
-0.869921,-3.5019565,2.9253237,-0.38910604,-0.15653509,-0.3871819,-0.89901006,2.824822,-0.2206655,1.991016,-5.8637895e-08,-1.2515426,-0.5664413,-1.0976616,-2.3684986,1.3019366,-0.22901006,-1.3325523,1.7497368,-3.4083269,1
0.37167063,2.83644,4.308898,-0.23616809,0.14420323,-0.21805303,-0.015651496,-1.260452,6.546529,-1.2136933,-0.01908312,-0.93169457,-0.5664413,0.92515993,-2.5667207,1.3019366,-1.2152958,1.0523288,-1.1676167,0.30220196,0
-0.83187455,-0.73363537,3.6441236,0.3103386,-0.30708948,0.29460174,-0.62917215,1.637092,-0.086081214,0.80114883,-0.01908312,0.9379827,1.6891321,-1.0976616,-2.5233796,-0.7783882,0.75727564,0.25736845,-1.1676167,0.30220196,1
-0.2246662,0.5975792,3.089289,-0.36670178,-0.5537674,-0.36994687,-0.10812098,0.19143037,0.032290634,0.3727966,-0.5622009,0.9379827,0.93727434,0.92515993,-2.4137518,-0.7783882,0.75727564,0.25736845,-0.19516551,0.30220196,1
0.1615139,0.7791084,4.0325613,-0.24411488,-0.528291,-0.22797306,-0.2194254,0.52497107,1.2171439,-1.6737753,-0.62254727,0.9379827,-0.5664413,-1.0976616,-2.5555665,1.3019366,-1.2152958,0.25736845,-0.19516551,0.30220196,1
-9.169204e-08,1.0362749,1.9088478,-0.25438592,-0.3936013,-0.24736224,0.59104633,-1.5179052,0.75724673,-0.9439899,-0.6828937,-0.6265566,0.18541649,-1.0976616,-1.8901521,1.3019366,-1.2152958,0.25736845,-0.19516551,0.30220196,0
-0.5083659,-0.5067238,4.3202434,-0.063520975,0.17485902,-0.074914046,-0.4351294,-0.17800039,-0.018064547,-0.4680431,0.5240345,0.17381755,1.6891321,0.92515993,-2.567358,-0.7783882,0.75727564,0.25736845,-0.19516551,0.30220196,1
-0.693551,-0.8092726,2.6414237,0.9046671,0.13025966,0.9148844,-0.6074482,1.0336564,0.962506,1.2770957,-5.8637895e-08,-2.10095,1.6891321,-1.0976616,-2.2665193,-0.7783882,0.75727564,0.25736845,-1.1676167,-3.4083269,0
-0.8391633,-1.4597524,0.48259425,-0.36441457,-0.45504475,-0.36641788,-0.6863342,-0.08564266,-0.2949516,0.02376882,-0.5018545,0.6098369,-0.5664413,-1.0976616,-0.6214666,-0.7783882,0.75727564,-2.1275127,1.7497368,0.30220196,1
-0.534334,-0.12853783,0.55174595,-0.22349843,-0.5036182,-0.23547749,-0.5329724,-0.56896544,1.1944226,0.75355417,-0.44150805,-0.2407023,0.18541649,0.92515993,-0.6963576,-0.7783882,0.75727564,0.25736845,-0.19516551,0.30220196,0
-9.169204e-08,-0.7790177,3.5784833,-0.44570708,-0.63419574,-0.4532213,-0.6806096,0.8154432,-0.058474705,-0.119015306,-5.8637895e-08,-2.2114637,-0.5664413,-1.0976616,-2.5144563,-0.7783882,0.75727564,0.25736845,1.7497368,-3.4083269,0
-9.169204e-08,-0.9908018,-0.3293979,-0.4012434,-0.4293737,-0.40638328,-0.6981856,1.2040156,-0.37567043,0.6583645,-5.8637895e-08,-2.0730388,-1.3182992,-1.0976616,0.2880608,-0.7783882,0.75727564,-2.1275127,1.7497368,-3.4083269,0
-0.46369317,-3.108643,1.7311063,-0.32710603,-0.31701508,-0.2929089,-0.75256026,2.1898024,0.46135795,2.3876386,0.7654202,0.3710824,-0.5664413,-1.0976616,-1.7725573,1.3019366,-0.22901006,0.25736845,-0.19516551,0.30220196,1
-0.53422517,-0.14366527,0.18923976,-0.3704265,-0.60696775,-0.3773383,-0.26046014,1.3399204,-0.2614363,0.48385078,0.22230253,0.9379827,0.18541649,0.92515993,-0.30118802,-0.7783882,0.75727564,0.25736845,1.7497368,0.30220196,1
-0.5120793,-0.27981222,0.6900493,-0.34961647,-0.5876878,-0.34652796,-0.54921013,0.47855285,-0.4322253,0.2934722,1.7913091,-0.26597324,1.6891321,0.92515993,-0.84072196,-0.7783882,0.75727564,0.25736845,-0.19516551,0.30220196,1
-0.55836195,-0.3100671,2.487183,-0.34154704,-0.3827214,-0.3450262,-0.68046427,0.14549083,0.27323756,0.2934722,-0.2001224,-0.61561835,-0.5664413,-1.0976616,-2.2027822,-0.7783882,0.75727564,1.0523288,1.7497368,0.30220196,0
0.57645893,0.91525537,3.5701096,0.7740231,-7.6704715e-08,0.7685894,1.2743385,-0.93408954,2.7825227,-0.76947606,-0.62254727,-0.16715248,0.93727434,0.92515993,-2.5135002,-0.7783882,0.75727564,0.25736845,-1.1676167,0.30220196,0
-0.7767532,-1.2782232,4.4469314,-0.059474893,-0.46072012,-0.069999404,-0.7175619,1.720836,-0.23944823,-0.6266921,-5.8637895e-08,-2.1760087,0.18541649,-1.0976616,-2.5686328,-0.7783882,0.75727564,-2.1275127,-0.19516551,-3.4083269,0
-0.75968915,-0.022645775,3.0355344,-0.3986655,-0.6268567,-0.40141165,-0.6469378,-1.354724,0.4938582,0.2934722,-0.6828937,-1.1097232,0.93727434,-1.0976616,-2.4016418,1.3019366,-1.2152958,0.25736845,1.7497368,0.30220196,0
-0.7282508,0.52194196,3.1573603,-0.2608914,-0.53167486,-0.26761082,-0.75524294,0.07562441,-0.23730509,0.039633702,-0.32081524,0.7312883,0.93727434,-1.0976616,-2.4293673,1.3019366,-1.2152958,1.0523288,-0.19516551,0.30220196,1
-0.7190164,-0.9000372,1.764602,0.34425643,-0.14784627,0.32418963,-0.80363613,0.32111415,-0.35518655,0.45212102,-5.8637895e-08,-2.0108044,-1.3182992,0.92515993,-1.7942278,-0.7783882,0.75727564,-1.3325523,-1.1676167,-3.4083269,0
-9.169204e-08,-0.73363537,1.1349432,-0.26418912,-0.524656,-0.27015254,-0.74882275,0.7503621,-0.056931727,0.6900946,1.7913091,0.9379827,-0.5664413,-1.0976616,-1.2805074,-0.7783882,0.75727564,0.25736845,-0.19516551,0.30220196,1
-0.8276712,-0.26468477,-0.78482664,-0.42402196,-0.5647854,-0.43009734,-0.75718564,0.40294403,-0.44621047,-0.023826016,0.10160966,0.9379827,-0.5664413,0.92515993,0.80847365,1.3019366,-1.2152958,0.25736845,1.7497368,0.30220196,1
-0.77780944,-0.59748846,2.6325095,-0.2099797,-0.4604188,-0.20815179,-0.7844174,1.7954878,-0.15378807,0.007903937,0.28264895,0.83388114,-0.5664413,0.92515993,-2.2642884,-0.7783882,0.75727564,0.25736845,-0.19516551,0.30220196,1
-9.169204e-08,0.3555402,4.319703,-0.28786606,-0.005811199,-0.29548404,-0.7448901,-0.27562207,1.191005,0.039633702,-0.26046878,0.9379827,-1.3182992,0.92515993,-2.5670393,1.3019366,-1.2152958,0.25736845,1.7497368,0.30220196,1
-0.67859054,0.91525537,-0.18001944,-0.3508579,-0.37461638,-0.35391852,-0.38953575,-0.5938494,-0.15845153,-0.7218814,-0.32081524,0.9379827,-1.3182992,0.92515993,0.11756425,1.3019366,-1.2152958,1.0523288,1.7497368,0.30220196,1
-0.70777285,-0.06802809,0.30431253,-0.22887883,0.35898852,-0.22718224,-0.54730785,0.6068009,-0.060836893,0.2934722,-5.8637895e-08,-2.144703,-0.5664413,0.92515993,-0.42802474,-0.7783882,0.75727564,0.25736845,-0.19516551,-3.4083269,0
0.48657605,0.627834,-1.274291,-0.31908926,-0.20260985,-0.3239698,0.044598635,-0.6417032,1.2324239,0.38866147,-0.7432401,-0.6446612,0.18541649,0.92515993,1.3613924,-0.7783882,0.75727564,0.25736845,-1.1676167,0.30220196,0
-0.50480324,-2.352271,3.451795,-0.41800725,-0.5840277,-0.42425922,-0.7238977,0.87621754,0.9807931,1.5467991,3.6017015,-0.9645091,-0.5664413,-1.0976616,-2.493423,1.3019366,-2.2015815,0.25736845,-0.19516551,0.30220196,1
-0.8319743,-1.2177134,3.5476892,0.27672327,-0.16985717,0.27224305,-0.82200414,-1.0987065,0.06794456,-0.08728555,-5.8637895e-08,-2.1477203,-0.5664413,-1.0976616,-2.5099947,-0.7783882,0.75727564,0.25736845,-1.1676167,-3.4083269,0
-0.7198894,-0.6277433,-0.7940109,0.11418591,-0.4960531,0.22258386,-0.58305275,-1.0685586,-0.25436705,0.49971566,-5.8637895e-08,-2.1522465,1.6891321,-1.0976616,0.81930894,-0.7783882,0.75727564,0.25736845,-1.1676167,-3.4083269,0
0.084047005,1.490098,1.5955042,0.7425996,0.23406753,0.72059023,-0.20455362,-1.3528098,0.57782376,-1.0391793,-0.5622009,-0.5552698,-0.5664413,0.92515993,-1.6728088,1.3019366,-1.2152958,0.25736845,-1.1676167,0.30220196,0
-0.58184904,-0.05290065,2.3529313,-0.32049337,-0.44950122,-0.32190654,-0.38368413,-1.4332042,-0.16971888,1.054987,0.28264895,-1.168186,-0.5664413,0.92515993,-2.1403198,-0.7783882,0.75727564,0.25736845,1.7497368,0.30220196,0
-0.6183419,0.098373726,1.2772985,-0.30984822,-0.5941856,-0.3145853,-0.4914651,1.2422987,-0.21811958,0.9597977,-0.7432401,0.9379827,1.6891321,0.92515993,-1.405432,-0.7783882,0.75727564,0.25736845,1.7497368,0.30220196,1
-0.62461257,-1.1572037,0.040401477,-0.36636963,-0.5961067,-0.37053922,-0.56229883,1.1102223,-0.21478534,0.7852839,0.82576656,0.9379827,0.93727434,-1.0976616,-0.13324095,-0.7783882,0.75727564,0.25736845,1.7497368,0.30220196,1
-0.69353473,-0.17392015,1.4526087,0.044854935,0.0007180081,0.041274592,-0.5140492,-0.5550879,0.10750103,0.80114883,-5.8637895e-08,-1.9338597,-0.5664413,0.92515993,-1.5545766,-0.7783882,0.75727564,0.25736845,-1.1676167,-3.4083269,0
1.3161285,1.1270396,-0.119511716,-0.2809408,-0.2885315,-0.29967168,0.25001416,1.0695467,0.33993858,-1.6579105,0.22230253,0.69319344,0.18541649,0.92515993,0.047134835,-0.7783882,0.75727564,0.25736845,-1.1676167,0.30220196,1
-9.169204e-08,-0.3100671,0.6003682,-0.4211414,-0.53465694,-0.4268181,-0.8222604,-0.1646014,0.92624766,-0.16660994,-5.8637895e-08,-1.9881735,-0.5664413,0.92515993,-0.74766594,-0.7783882,0.75727564,0.25736845,1.7497368,-3.4083269,0
0.6157794,0.8093633,-0.70568043,-0.25595278,-0.31900528,-0.25927302,0.34136325,0.7972588,0.12892054,-1.1819633,-0.6828937,0.9379827,0.93727434,0.92515993,0.7189231,-0.7783882,0.75727564,-2.1275127,-1.1676167,0.30220196,1
